"Title","Author","File_Format","APA_Citation","Link","Year","Description","Association","Link_Owner","Tags"
"A View of the River","LB Leopold","book","Leopold, L. B. (1994). A View of the River. Harvard University Press.","https:\/\/books.google.com\/books?hl=en&lr=&id=QWDQ7ezcjbcC&oi=fnd&pg=PP13&dq=A+View+of+the+River&ots=MmkHjaJEgl&sig=CR3GXmkVIcu1YLiOmoNadirOV7I",1994,"With the Midwest under water, America had a chance to see how effectively it had"" improved"" its rivers. We've straightened and dredged them, revetted and rerouted them, made","Harvard University Press","books.google.com","Documents_Knowledge Base_Hydrology,Documents_Knowledge Base_Hydraulics,Documents_Knowledge Base_Geomorphology,Documents_Evaluation_Hydrology,Documents_Evaluation_Hydraulics,Documents_Evaluation_Sediment Transport,Documents_Evaluation_Geomorphology,Documents_Design Theory_Hydraulic Geometry"
"Analytical Stream Restoration Design Review Checklist","R Starr, W Harman","pdf","Starr, R. and W. Harman. 2015. Analytical Design Review Checklist Version 3. U.S. Fish and Wildlife Service, Chesapeake Bay Field Office, Annapolis, MD. CBFO-S15-02.","https:\/\/stream-mechanics.com\/wp-content\/uploads\/2012\/01\/Analytical-Design.pdf",2015,"The Analytical Design approach is a subset of the broader Alluvial Channel Design Methodology described in Chapter 9 of the United States Department of Agriculture, Natural Resources Conservation Service, National Engineering Handbook (NEH) 654. The theory supporting the Analytical Approach is that channel dimensions can be calculated from physically-based equations including continuity, hydraulic resistance, and sediment transport.","USFWS CBFO","stream-mechanics.com","Documents_Evaluation_Hydrology,Documents_Evaluation_Hydraulics,Documents_Evaluation_Sediment Transport,Documents_Evaluation_Geomorphology,Documents_Design Theory_Hydraulic Geometry,Documents_Design Theory_Analytical Design,Documents_Actions and Goals_In stream Structures"
"Applied Hydrology","VP Singh, D Eng","pdf","Singh, V. P., & Eng, D. (2017). Handbook of applied hydrology. McGraw-Hill Education.","https:\/\/www.accessengineeringlibrary.com\/content\/book\/9780071835091",2010,"This industry-standard resource has been completely revised for the first time since Ven Te Chow's classic edition was published over 50 years ago. Compiled by a colleague of the late Dr. Chow and featuring chapter contributions from a ""who's who"" of international hydrology","McGraw-Hill","accessengineeringlibrary.com","Documents_Knowledge Base_Hydrology,Documents_Evaluation_Hydrology"
"Applied River Morphology","DL Rosgen, HL Silvey","book","Rosgen, D., & Silvey, H. L. (1996). Applied river morphology: Pagosa Springs. Colorado, Wildland Hydrology, 1481.","https:\/\/books.google.com\/books\/about\/Applied_River_Morphology.html?id=TIHuAAAAMAAJ",1996,"For use in: watershed management applications, ecosystem assessment, cumulative effects analysis, fish habitat evaluation, assessment of river condition, river restoration, communication regarding river systems. This book is a generous and detailed explanation of the stream classification system and how it might be used to incorporate the observed processes of river mechanics into restoration designs that enhance the beauty and health of channels.","Wildland Hydrology","books.google.com","Documents_Knowledge Base_Hydrology,Documents_Knowledge Base_Hydraulics,Documents_Knowledge Base_Geomorphology,Documents_Evaluation_Hydrology,Documents_Evaluation_Hydraulics,Documents_Evaluation_Geomorphology,Documents_Design Theory_Hydraulic Geometry,Documents_Design Theory_Natural Channel Design,Documents_Actions and Goals_In stream Structures"
"Bank Stabilization Design Guidelines","DC Baird, L Fotherby, CC Klumpp, SM Sculock","pdf","Baird, D. C., Fotherby, L., Klumpp, C. C., & Sculock, S. M. (2015). Bank stabilization design guidelines. Reclamation: Managing water in the west, 319.","https:\/\/www.usbr.gov\/tsc\/techreferences\/mands\/mands-pdfs\/A-BankStab-final6-25-2015.pdf",2015,"A goal of these guidelines is to increase considerations of sustainability and longterm feasibility, and to increase environmental effectiveness in bank stabilization designs. Most of the bank protection methods presented in this manual can be applied in ways that meet all three measures of a successful design: feasibility, sustainability and environmental effectiveness.","USBR","usbr.gov","Documents_Knowledge Base_Hydraulics,Documents_Knowledge Base_Geomorphology,Documents_Evaluation_Hydraulics,Documents_Evaluation_Sediment Transport,Documents_Evaluation_Geomorphology,Documents_Design Theory_Stable ch design and Stabilization,Documents_Actions and Goals_Bank Stabilization,Documents_Actions and Goals_Channel Reconfiguration,Documents_Actions and Goals_Floodplain Reconnection,Documents_Actions and Goals_Large wood,Documents_Actions and Goals_Grade control,Documents_Actions and Goals_River training,Documents_Actions and Goals_In stream Structures"
"Channel Restoration Design for Meandering Rivers","PJ Soar, CR Thorne","pdf","Soar, Philip J., and Colin R. Thorne. Channel restoration design for meandering rivers. ENGINEER RESEARCH AND DEVELOPMENT CENTER VICKSBURG MS COASTAL AND HYDRAULICSLAB, 2001.","https:\/\/erdc-library.erdc.dren.mil\/jspui\/handle\/11681\/1800",2001,"A framework for channel restoration design is presented that attempts to bridge the divide between reconnaissance level geomorphological designs at one extreme and numerical modeling of hydrodynamics, sediment transport and morphological change at the other. Reestablishing equilibrium between the sediment supply and available transport capacity in the restored reach is the primary objective of the design framework. A geomorphic engineering approach is presented, which recognizes that the river is ultimately the best restorer of its natural morphology and should be allowed to participate in its own recovery. This is accomplished through designing an approximate channel mould, based on the broad dimensions of the river, and then allowing the river itself to develop the intricate cross-sectional detail and intra-reach morphological features to complete the recovery process. Geomorphic engineering provides a practical solution by striking a balance between empirical-statistical and analytical process-based methods.","USACE ERDC","erdc-library.erdc.dren.mil","Documents_Knowledge Base_Hydrology,Documents_Knowledge Base_Hydraulics,Documents_Knowledge Base_Geomorphology,Documents_Evaluation_Hydrology,Documents_Evaluation_Hydraulics,Documents_Evaluation_Sediment Transport,Documents_Evaluation_Geomorphology,Documents_Design Theory_Hydraulic Geometry,Documents_Design Theory_Stable ch design and Stabilization,Documents_Design Theory_Threshold channel design,Documents_Design Theory_Alluvial Channel Design,Documents_Design Theory_Analytical Design,Documents_Actions and Goals_In stream Structures"
"Classification of Natural Rivers","DL Rosgen","pdf","Rosgen, D. L. (1994). A classification of natural rivers. Catena, 22(3), 169-199.","https:\/\/www.sciencedirect.com\/science\/article\/abs\/pii\/0341816294900019",1994,"A classification system for natural rivers is presented in which a morphological arrangement of stream characteristics is organized into relatively homogeneous stream types. This paper describes morphologically similar stream reaches that are divided into 7 major stream type categories that differ in entrenchment, gradient, width\/depth ratio, and sinuosity in various landforms. Within each major category are six additional types delineated by dominate channel materials from bedrock to silt\/clay along a continuum of gradient ranges. Recent stream type data used to further define classification interrelationships were derived from 450 rivers throughout the U.S, Canada, and New Zealand. Data used in the development of this classification involved a great diversity of hydro-physiographic\/geomorphic provinces from small to large rivers and in catchments from headwater streams in the mountains to the coastal plains.","Elsevier","sciencedirect.com","Documents_Knowledge Base_Geomorphology,Documents_Evaluation_Geomorphology,Documents_Design Theory_Natural Channel Design"
"Computational Design Tool for Evaluating the Stability of Large Wood Structures","M Rafferty","pdf","Rafferty, Michael. ""Computational design tool for evaluating the stability of large wood structures."" USDA Technical Note TN-103.2 (2017).","https:\/\/www.fs.fed.us\/biology\/nsaec\/assets\/rafferty_usfs_nsaec_tn-103-2_stabilitylargewoodstructurestool.pdf",2017,"Large logs are often placed in streams to benefit aquatic and riparian-dependent fish and wildlife. When specifying the type of large wood structure to be used, restoration practitioners, planners, and local residents need to be assured that the constructed structures will likely remain in place under the expected conditions.","USFS NSAEC","fs.usda.gov","Documents_Knowledge Base_Geomorphology,Documents_Evaluation_Sediment Transport,Documents_Evaluation_Geomorphology,Documents_Design Theory_Analytical Design,Documents_Actions and Goals_In stream Structures"
"Design for Stream Restoration","FD Shields Jr, RR Copeland, PC Klingeman, MW Doyle, A Simon","pdf","Shields Jr, F. D., Copeland, R. R., Klingeman, P. C., Doyle, M. W., & Simon, A. (2003). Design for stream restoration. Journal of Hydraulic Engineering, 129(8), 575-584.","https:\/\/ascelibrary.org\/doi\/abs\/10.1061\/(ASCE)0733-9429(2003)129:8(575)",2003,"Stream restoration, or more properly rehabilitation, is the return of a degraded stream ecosystem to a close approximation of its remaining natural potential. Many types of practices (dam removal, levee breaching, modified flow control, vegetative methods for streambank erosion control, etc.) are useful, but this paper focuses on channel reconstruction. A tension exists between restoring natural fluvial processes and ensuring stability of the completed project. Sedimentation analyses are a key aspect of design since many projects fail due to erosion or sedimentation. Existing design approaches range from relatively simple ones based on stream classification and regional hydraulic geometry relations to more complex two- and three-dimensional numerical models. Herein an intermediate approach featuring application of hydraulic engineering tools for assessment of watershed geomorphology, channel-forming discharge analysis, and hydraulic analysis in the form of one-dimensional flow and sediment transport computations is described.","USACE ERDC","ascelibrary.org","Documents_Knowledge Base_Hydrology,Documents_Knowledge Base_Hydraulics,Documents_Knowledge Base_Geomorphology,Documents_Evaluation_Hydrology,Documents_Evaluation_Hydraulics,Documents_Evaluation_Sediment Transport,Documents_Evaluation_Geomorphology,Documents_Design Theory_Stable ch design and Stabilization,Documents_Design Theory_Threshold channel design,Documents_Design Theory_Alluvial Channel Design,Documents_Design Theory_Analytical Design"
"EPA National Rivers and Stream Assessments","EPA","website","National Rivers and Streams Assessment. (2022, June 17). US EPA. https:\/\/www.epa.gov\/national-aquatic-resource-surveys\/nrsa","https:\/\/www.epa.gov\/national-aquatic-resource-surveys\/nrsa",2019,"The National Rivers and Streams Assessment (NRSA) is a collaborative survey that provides information on the ecological condition of the nation’s rivers and streams and the key stressors that affect them, both on a national and an ecoregional scale.","EPA","epa.gov","Documents_Knowledge Base_Physico chemical,Documents_Knowledge Base_Biological Ecology,Documents_Evaluation_Physico chemical,Documents_Evaluation_Biological Ecology"
